DateTime,OKX Open,OKX High,OKX Low,OKX Close,OKX Volume,OKX Spread,OKX Percentage Change,Binance Open,Binance High,Binance Low,Binance Close,Binance Volume,Binance Close Time,Binance Quote Asset Volume,Binance Number of Trades,Binance Taker buy base asset volume,Binance Taker buy quote asset volume,Binance Spread,Binance Percentage Change,Close Price Difference
1707565140000,118.02,118.02,117.92,117.92,15.659323,0.09999999999999432,-0.09319664492078238,118.07000000,118.07000000,117.98000000,118.07000000,52.70000000,,,,,,0.0899999999999892,0.0,-0.14999999999999147
1707565200000,118.17,118.18,118.09,118.09,13.33842,0.09000000000000341,0.14416553595658219,118.07000000,118.24000000,118.07000000,118.17000000,44.93000000,,,,,,0.1700000000000017,0.08469551960702001,-0.0799999999999983
1707565260000,118.09,118.09,118.09,118.09,0,0.0,0.0,118.17000000,118.17000000,118.01000000,118.04000000,23.38000000,,,,,,0.1599999999999966,-0.11001100110010617,0.04999999999999716
1707565320000,118.02,118.02,117.93,117.93,14.9063,0.0899999999999892,-0.1354898805995398,118.06000000,118.06000000,117.99000000,118.01000000,10.35000000,,,,,,0.07000000000000739,-0.025415113520841356,-0.0799999999999983
1707565380000,118.01,118.02,118,118.02,6.576144,0.01999999999999602,0.07631645891629713,118.02000000,118.02000000,117.99000000,118.01000000,4.29000000,,,,,,0.030000000000001137,0.0,0.009999999999990905
1707565440000,117.98,118.01,117.9,117.98,23.863617,0.10999999999999943,-0.033892560582945305,118.02000000,118.05000000,117.99000000,117.99000000,70.57000000,,,,,,0.060000000000002274,-0.016947716295237888,-0.009999999999990905
1707565500000,118.1,118.13,118.07,118.07,6.989783,0.060000000000002274,0.07628411595184709,118.08000000,118.15000000,118.08000000,118.09000000,69.80000000,,,,,,0.07000000000000739,0.08475294516485171,-0.020000000000010232
1707565560000,118.03,118.03,117.95,117.99,20,0.0799999999999983,-0.06775641568560879,118.03000000,118.07000000,118.03000000,118.04000000,8.77000000,,,,,,0.03999999999999204,-0.04234058768735469,-0.05000000000001137
1707565620000,117.98,118.06,117.93,118.03,19,0.12999999999999545,0.033901178065943095,118.01000000,118.03000000,117.99000000,118.03000000,50.26000000,,,,,,0.04000000000000625,-0.00847170450695113,0.0
1707565680000,118,118.09,117.95,118.09,22.108547,0.14000000000000057,0.050834533593156206,118.06000000,118.13000000,118.04000000,118.10000000,110.30000000,,,,,,0.0899999999999892,0.05930695585867422,-0.009999999999990905
1707565740000,118.1,118.13,118.06,118.13,34.148566,0.06999999999999318,0.03387247014987894,118.09000000,118.13000000,118.09000000,118.13000000,17.80000000,,,,,,0.03999999999999204,0.025402201524133056,0.0
1707565800000,118.14,118.14,117.99,118.04,13.934449,0.15000000000000568,-0.07618725133326776,118.20000000,118.20000000,118.02000000,118.02000000,60.11000000,,,,,,0.18000000000000682,-0.09311775162956018,0.020000000000010232
1707565860000,118.02,118.13,118.02,118.06,19.42645,0.10999999999999943,0.016943409013890225,118.05000000,118.12000000,118.00000000,118.12000000,19.01000000,,,,,,0.12000000000000455,0.08473140145738733,-0.060000000000002274
1707565920000,118.18,118.21,118.18,118.21,11.253956,0.029999999999986926,0.1270540403184749,118.20000000,118.25000000,118.17000000,118.23000000,77.01000000,,,,,,0.0799999999999983,0.09312563494751053,-0.020000000000010232
1707565980000,118.22,118.26,118.14,118.16,14.255471,0.12000000000000455,-0.042297605955500514,118.25000000,118.26000000,118.14000000,118.15000000,87.79000000,,,,,,0.12000000000000455,-0.06766472130592768,0.009999999999990905
1707566040000,118.16,118.16,118.16,118.16,0,0.0,0.0,118.16000000,118.23000000,118.16000000,118.23000000,17.48000000,,,,,,0.07000000000000739,0.06771053745238959,-0.07000000000000739
