DateTime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
1698799620000,115.13000000,115.68000000,115.07000000,115.22000000,302.00000000,1698799679999,34838.99660000,240,229.48000000,26475.74730000
1698799680000,115.22000000,115.54000000,114.94000000,115.23000000,345.63000000,1698799739999,39816.27610000,452,223.41000000,25745.07190000
1698799740000,115.24000000,115.27000000,114.96000000,114.96000000,226.44000000,1698799799999,26069.84560000,326,91.93000000,10585.11910000
1698799800000,115.01000000,115.20000000,114.81000000,114.82000000,245.59000000,1698799859999,28240.95660000,329,79.64000000,9160.19930000
1698799860000,114.80000000,115.13000000,114.71000000,114.83000000,230.05000000,1698799919999,26424.90010000,286,175.61000000,20170.90600000
1698799920000,114.90000000,115.14000000,114.81000000,114.94000000,179.35000000,1698799979999,20623.66640000,260,102.29000000,11761.81880000
1698799980000,114.97000000,115.19000000,114.76000000,114.92000000,248.80000000,1698800039999,28607.84330000,316,142.62000000,16398.16740000
1698800040000,114.91000000,114.96000000,114.58000000,114.63000000,443.69000000,1698800099999,50914.97170000,289,190.08000000,21805.34140000
1698800100000,114.55000000,114.88000000,114.33000000,114.61000000,308.13000000,1698800159999,35290.19240000,302,197.34000000,22607.21150000
1698800160000,114.62000000,114.67000000,114.29000000,114.36000000,120.15000000,1698800219999,13744.51150000,140,38.50000000,4406.10810000
1698800220000,114.35000000,114.69000000,114.02000000,114.03000000,363.88000000,1698800279999,41629.65880000,270,247.07000000,28277.11030000
1698800280000,114.05000000,114.18000000,113.83000000,114.06000000,181.11000000,1698800339999,20653.25040000,194,87.41000000,9969.01280000
1698800340000,114.06000000,114.08000000,113.45000000,113.60000000,366.00000000,1698800399999,41576.03440000,261,244.25000000,27731.59610000
1698800400000,113.60000000,113.73000000,113.38000000,113.58000000,129.12000000,1698800459999,14659.15020000,183,73.65000000,8361.35440000
1698800460000,113.50000000,114.01000000,113.38000000,113.39000000,391.81000000,1698800519999,44555.49320000,207,275.13000000,31309.48620000
1698800520000,113.37000000,113.78000000,113.10000000,113.21000000,322.29000000,1698800579999,36569.80120000,246,235.27000000,26709.97080000
1698800580000,113.15000000,113.15000000,112.75000000,113.07000000,215.52000000,1698800639999,24349.40450000,166,119.63000000,13516.72560000
1698800640000,113.02000000,113.19000000,112.06000000,112.10000000,474.76000000,1698800699999,53476.00800000,461,204.50000000,23089.85540000
1698800700000,112.14000000,112.15000000,111.55000000,111.61000000,1480.90000000,1698800759999,165533.87870000,640,257.17000000,28773.49870000
1698800760000,111.62000000,111.87000000,111.40000000,111.76000000,311.69000000,1698800819999,34783.68290000,292,116.75000000,13033.65890000
1698800820000,111.79000000,111.87000000,111.32000000,111.71000000,151.36000000,1698800879999,16895.00830000,139,97.68000000,10905.99980000
1698800880000,111.79000000,112.35000000,111.72000000,112.26000000,112.71000000,1698800939999,12635.30260000,129,91.57000000,10266.54200000
1698800940000,112.23000000,112.30000000,112.13000000,112.28000000,131.18000000,1698800999999,14719.77900000,88,69.07000000,7752.66900000
1698801000000,112.33000000,112.89000000,112.29000000,112.75000000,261.79000000,1698801059999,29503.49440000,266,170.23000000,19190.58920000
